,Name,GP,ROW,GF%,GF,GA,GD,SF%,SF,SA,SD,Sh%,Sv%,PDO,xGF%,xGF,xGA,xGD,xSh%,xSv%,xPDO,GFAX,GFAX/30,GSAX,GSAX/30,HD GF,HD GA,HD GD,HD GF%,HD SF,HD SA,HD SD,HD SF%,HD Sh%,HD Sv%,MD GF,MD GA,MD GD,MD GF%,MD SF,MD SA,MD SD,MD SF%,MD Sh%,MD Sv%,LD GF,LD GA,LD GD,LD GF%,LD SF,LD SA,LD SD,LD SF%,LD Sh%,LD Sv%
0,Sault Ste. Marie Greyhounds,68,53,63.25,315,183,132,54.57,2327,1937,390,13.01,0.908,103.8,58.07,259.93,187.65,72.28,11.24,0.903,101.52,41.075,0.533,9.65,0.15,83,39,44,68.03,287,241,46,54.36,27.92,0.842,52,35,17,59.77,310,217,93,58.82,16.5,0.843,180,109,71,62.28,1730,1479,251,53.91,9.94,0.928
1,Sarnia Sting,68,43,58.27,296,212,84,49.01,2287,2379,-92,12.75,0.914,104.11,53.85,273.1,234.08,39.02,11.97,0.901,102.1,17.898,0.235,29.082,0.368,89,51,38,63.57,332,253,79,56.75,26.59,0.808,69,46,23,60.0,371,273,98,57.61,18.6,0.832,138,115,23,54.55,1584,1853,-269,46.09,8.48,0.94
2,Kitchener Rangers,68,42,53.03,245,217,28,50.63,2205,2150,55,10.83,0.902,101.07,52.74,244.41,218.98,25.43,11.12,0.898,100.9,-6.414,-0.088,9.98,0.14,54,60,-6,47.37,262,258,4,50.38,20.31,0.77,58,49,9,54.21,368,257,111,58.88,15.76,0.809,133,108,25,55.19,1575,1635,-60,49.07,8.09,0.938
3,Barrie Colts,68,41,56.49,296,228,68,51.63,2299,2154,145,12.19,0.897,101.89,50.91,248.84,239.9,8.94,10.91,0.888,99.74,29.164,0.384,18.899,0.264,60,53,7,53.1,275,289,-14,48.76,21.25,0.817,61,50,11,54.95,311,305,6,50.49,19.09,0.836,175,125,50,58.33,1713,1560,153,52.34,9.48,0.924
4,Hamilton Bulldogs,68,41,55.07,250,204,46,55.48,2401,1927,474,10.23,0.896,99.82,57.69,269.48,197.68,71.8,11.25,0.897,100.97,-24.48,-0.307,-2.324,-0.036,82,52,30,61.19,362,225,137,61.67,22.65,0.772,57,46,11,55.34,379,249,130,60.35,15.04,0.815,111,106,5,51.15,1660,1453,207,53.32,6.4,0.929
5,London Knights,68,38,52.49,232,210,22,48.1,2018,2177,-159,10.83,0.907,101.52,52.43,219.64,199.24,20.4,10.97,0.908,101.78,-2.636,-0.039,-2.763,-0.038,49,37,12,56.98,272,182,90,59.91,17.1,0.806,54,58,-4,48.21,272,280,-8,49.28,19.56,0.801,129,115,14,52.87,1474,1715,-241,46.22,8.07,0.935
6,Owen Sound Attack,68,35,54.17,286,242,44,58.44,2615,1860,755,10.66,0.874,98.03,59.87,273.86,183.58,90.28,10.5,0.901,100.59,4.144,0.048,-50.424,-0.817,66,56,10,54.1,286,201,85,58.73,22.81,0.725,71,39,32,64.55,335,231,104,59.19,20.96,0.831,149,147,2,50.34,1994,1428,566,58.27,7.19,0.901
7,Kingston Frontenacs,68,33,54.67,240,199,41,49.61,2183,2217,-34,10.71,0.913,102.02,52.16,234.27,214.84,19.43,10.77,0.903,101.04,-1.269,-0.017,22.838,0.31,51,64,-13,44.35,230,237,-7,49.25,21.83,0.733,68,42,26,61.82,339,311,28,52.15,20.06,0.868,121,93,28,56.54,1614,1669,-55,49.16,7.15,0.947
8,Niagara IceDogs,68,33,50.64,238,232,6,49.26,2200,2266,-66,10.37,0.902,100.61,48.09,223.6,241.32,-17.72,10.21,0.893,99.51,3.401,0.047,21.316,0.284,56,63,-7,47.06,253,297,-44,46.0,20.56,0.793,53,49,4,51.96,265,332,-67,44.39,19.7,0.858,129,120,9,51.81,1682,1637,45,50.68,7.39,0.931
9,Oshawa Generals,68,33,50.41,247,243,4,48.23,2113,2268,-155,11.23,0.895,100.75,50.98,223.19,214.57,8.62,10.62,0.905,101.13,12.808,0.183,-22.43,-0.297,76,56,20,57.58,264,221,43,54.43,28.24,0.75,63,56,7,52.94,303,289,14,51.18,20.27,0.809,108,131,-23,45.19,1546,1758,-212,46.79,6.56,0.928
10,Windsor Spitfires,68,31,48.97,213,222,-9,46.92,1892,2140,-248,10.93,0.9,100.98,43.66,189.72,244.85,-55.14,10.06,0.885,98.57,16.284,0.259,32.853,0.463,48,63,-15,43.24,250,313,-63,44.4,18.88,0.804,50,55,-5,47.62,268,361,-93,42.61,18.66,0.848,115,104,11,52.51,1374,1466,-92,48.38,7.97,0.934
11,Mississauga Steelheads,68,31,50.1,249,248,1,52.4,2323,2110,213,10.53,0.887,99.19,52.67,247.44,222.32,25.12,10.67,0.894,100.09,-3.444,-0.045,-15.676,-0.224,57,62,-5,47.9,262,288,-26,47.64,21.76,0.787,59,54,5,52.21,320,296,24,51.95,18.18,0.818,133,132,1,50.19,1741,1526,215,53.29,7.43,0.919
12,Guelph Storm,68,28,46.6,226,259,-33,47.36,2172,2414,-242,10.2,0.897,99.88,46.21,224.8,261.71,-36.91,10.37,0.891,99.48,-3.798,-0.053,13.71,0.171,56,70,-14,44.44,261,347,-86,42.93,21.46,0.801,54,50,4,51.92,298,309,-11,49.09,18.12,0.844,116,139,-23,45.49,1613,1758,-145,47.85,6.9,0.925
13,Ottawa 67's,68,28,46.46,223,257,-34,50.44,2158,2120,38,9.87,0.882,98.04,50.61,230.96,225.39,5.57,10.76,0.893,100.09,-18.96,-0.265,-24.607,-0.349,55,48,7,53.4,275,205,70,57.29,19.41,0.773,48,71,-23,40.34,349,348,1,50.07,13.26,0.796,120,138,-18,46.51,1534,1567,-33,49.47,7.4,0.915
14,Saginaw Spirit,68,27,44.91,194,238,-44,49.14,2107,2181,-74,8.77,0.895,98.23,44.47,196.47,245.29,-48.82,9.37,0.887,98.08,-12.466,-0.178,16.289,0.225,45,61,-16,42.45,239,297,-58,44.59,17.45,0.797,39,58,-19,40.21,273,316,-43,46.35,13.97,0.816,110,119,-9,48.03,1595,1568,27,50.43,6.6,0.929
15,North Bay Battalion,68,26,47.18,209,234,-25,50.71,2222,2160,62,9.24,0.895,98.78,47.87,211.55,230.36,-18.81,9.54,0.893,98.83,-6.551,-0.089,5.362,0.075,46,55,-9,45.54,227,250,-23,47.59,20.26,0.78,55,52,3,51.4,324,305,19,51.51,16.72,0.83,108,127,-19,45.96,1671,1605,66,51.01,6.29,0.926
16,Peterborough Petes,68,21,44.0,220,280,-60,45.69,2058,2446,-388,10.56,0.889,99.48,41.95,198.35,274.49,-76.14,9.65,0.887,98.38,18.649,0.272,4.493,0.055,44,75,-31,36.97,194,319,-125,37.82,22.68,0.772,37,75,-38,33.04,250,387,-137,39.25,14.8,0.81,139,130,9,51.67,1614,1740,-126,48.12,8.44,0.928
17,Erie Otters,68,19,44.72,216,267,-51,48.79,2019,2119,-100,10.43,0.876,98.08,48.91,221.75,231.61,-9.85,11.02,0.89,100.06,-11.754,-0.175,-29.392,-0.417,60,68,-8,46.88,286,254,32,52.96,20.7,0.741,45,59,-14,43.27,297,377,-80,44.07,14.86,0.848,111,140,-29,44.22,1436,1488,-52,49.11,7.47,0.907
18,Flint Firebirds,68,17,37.82,191,314,-123,48.76,2235,2349,-114,8.3,0.869,95.15,42.27,209.17,285.67,-76.5,9.38,0.878,97.19,-24.171,-0.325,-22.327,-0.286,43,76,-33,36.13,239,362,-123,39.77,16.95,0.799,51,69,-18,42.5,265,370,-105,41.73,19.25,0.814,97,169,-72,36.47,1731,1617,114,51.7,5.44,0.897
19,Sudbury Wolves,68,16,40.25,196,291,-95,44.96,1977,2420,-443,9.73,0.884,98.14,44.83,202.59,249.33,-46.74,10.27,0.896,99.91,-10.591,-0.161,-29.671,-0.37,57,68,-11,45.6,248,266,-18,48.25,22.67,0.75,41,73,-32,35.96,274,357,-83,43.42,14.96,0.796,98,150,-52,39.52,1455,1797,-342,44.74,6.54,0.922
