,Unnamed: 0,#,Name,Pos,Team,Age,GP,G,A1,A2,P1,P,Sh,Sh%,G/GP,A1/GP,A2/GP,P1/GP,P/GP,Sh/GP
794,493,,Patrick Bjorkstrand,C,ONT,24.291,42,8,1,3,9,12,50,16.0,0.19,0.02,0.07,0.21,0.29,1.19
456,475,,Jeff Hoggan,LW,IA,38.621,61,7,3,2,10,12,95,7.37,0.11,0.05,0.03,0.16,0.2,1.56
57,524,,Andrew O'Brien,D,SD/MIL,23.817,42,2,6,4,8,12,73,2.74,0.05,0.14,0.1,0.19,0.29,1.74
5,474,,Aaron Palushaj,RW,CLE,27.023000000000003,28,3,7,2,10,12,50,6.0,0.11,0.25,0.07,0.36,0.43,1.79
803,553,,Patrick Sieloff,D,BNG,22.339,52,2,5,5,7,12,43,4.65,0.04,0.1,0.1,0.13,0.23,0.83
399,445,,Hudson Fasching,RW,RCH,21.137,37,8,3,1,11,12,64,12.5,0.22,0.08,0.03,0.3,0.32,1.73
787,444,,Ondrej Kase,RW,SD,20.855,14,6,5,1,11,12,37,16.22,0.43,0.36,0.07,0.79,0.86,2.64
112,551,,Brady Austin,D,RCH,23.25,72,4,3,5,7,12,81,4.94,0.06,0.04,0.07,0.1,0.17,1.12
685,554,,Matt MacKenzie,D,SPR,24.92,38,4,3,5,7,12,62,6.45,0.11,0.08,0.13,0.18,0.32,1.63
85,492,,Austin Fyten,C,TEX,25.372,59,6,3,3,9,12,58,10.34,0.1,0.05,0.05,0.15,0.2,0.98
90,523,,Barry Goers,D,WBS,30.257,37,4,4,4,8,12,52,7.69,0.11,0.11,0.11,0.22,0.32,1.41
895,490,,Scooter Vaughan,F,CHI,27.439,60,6,3,3,9,12,61,9.84,0.1,0.05,0.05,0.15,0.2,1.02
24,446,,Alex Belzile,C,SA,25.044,45,5,6,1,11,12,78,6.41,0.11,0.13,0.02,0.24,0.27,1.73
708,447,,Michael Joly,RW,HFD,21.367,28,6,5,1,11,12,23,26.09,0.21,0.18,0.04,0.39,0.43,0.82
874,443,,Ryan Kujawinski,C,ALB,21.465,32,6,5,1,11,12,41,14.63,0.19,0.16,0.03,0.34,0.38,1.28
27,520,,Alex Friesen,C,CHI,25.627,76,3,5,4,8,12,76,3.95,0.04,0.07,0.05,0.11,0.16,1.0
883,650,,Ryan Stanton,D,CLE/SA,27.157,48,2,2,8,4,12,63,3.17,0.04,0.04,0.17,0.08,0.25,1.31
336,555,,Eric Gelinas,D,SA,25.358,27,3,4,5,7,12,60,5.0,0.11,0.15,0.19,0.26,0.44,2.22
748,552,,Nate Guenin,D,SD,33.767,56,2,5,5,7,12,64,3.12,0.04,0.09,0.09,0.12,0.21,1.14
259,522,,Dakota Mermis,D,TUC,22.695,67,2,6,4,8,12,69,2.9,0.03,0.09,0.06,0.12,0.18,1.03
573,491,,Kenney Morrison,D,STK,24.589,51,4,5,3,9,12,91,4.4,0.08,0.1,0.06,0.18,0.24,1.78
294,556,,Denis Malgin,F,SPR,19.658,15,3,4,5,7,12,29,10.34,0.2,0.27,0.33,0.47,0.8,1.93
1027,521,,Tyson Strachan,D,RCH,31.877,61,1,7,4,8,12,62,1.61,0.02,0.11,0.07,0.13,0.2,1.02
298,412,,Derek Army,C,MIL,25.435,37,7,5,0,12,12,55,12.73,0.19,0.14,0.0,0.32,0.32,1.49
454,477,,Jean Dupuy,C,RCH,21.944000000000006,46,3,7,2,10,12,64,4.69,0.07,0.15,0.04,0.22,0.26,1.39
597,414,,Kyle Bonis,LW,RCH,27.582,52,10,2,0,12,12,63,15.87,0.19,0.04,0.0,0.23,0.23,1.21
632,527,,Mackenzie MacEachern,LW,CHI,22.522,55,5,3,3,8,11,69,7.25,0.09,0.05,0.05,0.15,0.2,1.25
645,530,,Mark Alt,D,LV,24.912,40,1,7,3,8,11,48,2.08,0.03,0.17,0.07,0.2,0.28,1.2
307,589,,Dillon Simpson,D,BAK,23.595,53,3,3,5,6,11,58,5.17,0.06,0.06,0.09,0.11,0.21,1.09
535,496,,Juho Lammikko,C,SPR,20.63,47,6,3,2,9,11,63,9.52,0.13,0.06,0.04,0.19,0.23,1.34
402,497,,Hunter Smith,RW,STK,21.013,34,3,6,2,9,11,32,9.38,0.09,0.18,0.06,0.26,0.32,0.94
879,494,,Ryan Olsen,C,MB,22.478,56,7,2,2,9,11,67,10.45,0.12,0.04,0.04,0.16,0.2,1.2
234,498,,Colin Blackwell,C,SJ,23.469,57,4,5,2,9,11,87,4.6,0.07,0.09,0.04,0.16,0.19,1.53
231,495,,Cole Cassels,C,UTI,21.369,66,6,3,2,9,11,73,8.22,0.09,0.05,0.03,0.14,0.17,1.11
858,588,,Roland McKeown,D,CHA,20.655,71,1,5,5,6,11,125,0.8,0.01,0.07,0.07,0.08,0.15,1.76
176,528,,Carl Dahlstrom,D,RFD,21.632,70,6,2,3,8,11,102,5.88,0.09,0.03,0.04,0.11,0.16,1.46
152,526,,Brian Lashoff,D,GR,26.169,62,3,5,3,8,11,73,4.11,0.05,0.08,0.05,0.13,0.18,1.18
119,610,,Brandon Burlon,D,TUC,26.533,33,3,2,6,5,11,20,15.0,0.09,0.06,0.18,0.15,0.33,0.61
115,557,,Branden Troock,RW,TUC/TEX,22.492,30,4,3,4,7,11,43,9.3,0.13,0.1,0.13,0.23,0.37,1.43
398,609,,Hubert Labrie,D,HER,25.181,70,3,2,6,5,11,43,6.98,0.04,0.03,0.09,0.07,0.16,0.61
248,651,,Conor Allen,D,GR,26.623,56,1,3,7,4,11,47,2.13,0.02,0.05,0.12,0.07,0.2,0.84
270,499,,Daniel Carr,LW,STJ,24.874,19,6,3,2,9,11,51,11.76,0.32,0.16,0.11,0.47,0.58,2.68
727,529,,Mike Liambas,LW,MIL,27.579,72,3,5,3,8,11,62,4.84,0.04,0.07,0.04,0.11,0.15,0.86
437,611,,James Wisniewski,D,CHI,32.567,21,4,1,6,5,11,29,13.79,0.19,0.05,0.29,0.24,0.52,1.38
446,700,,Jarred Tinordi,D,TUC,24.57,64,1,2,8,3,11,79,1.27,0.02,0.03,0.12,0.05,0.17,1.23
447,448,,Jarrett Burton,C,WBS,25.712,39,7,4,0,11,11,37,18.92,0.18,0.1,0.0,0.28,0.28,0.95
1031,587,,Viktor Svedberg,D,RFD,25.315,51,2,4,5,6,11,106,1.89,0.04,0.08,0.1,0.12,0.22,2.08
736,558,,Mikkel Aagaard,C,STK,20.912,25,5,2,4,7,11,31,16.13,0.2,0.08,0.16,0.28,0.44,1.24
1020,612,,Tyler Randell,RW,PRO,25.254,59,1,4,5,5,10,52,1.92,0.02,0.07,0.08,0.08,0.17,0.88
638,501,,Marc Hagel,RW,IA/BNG,28.036,53,2,7,1,9,10,80,2.5,0.04,0.13,0.02,0.17,0.19,1.51
9,560,,Adam Gilmour,C,IA,22.629,52,4,3,3,7,10,62,6.45,0.08,0.06,0.06,0.13,0.19,1.19
22,536,,Aleksi Saarela,C,CHA,19.688,9,6,2,2,8,10,17,35.29,0.67,0.22,0.22,0.89,1.11,1.89
33,590,,Alex Lintuniemi,D,ONT,20.981,41,2,4,4,6,10,35,5.71,0.05,0.1,0.1,0.15,0.24,0.85
222,534,,Cody Corbett,D,SA,22.755,23,2,6,2,8,10,41,4.88,0.09,0.26,0.09,0.35,0.43,1.78
143,701,,Brett Kulak,D,STK,22.692,22,2,1,7,3,10,37,5.41,0.09,0.05,0.32,0.14,0.45,1.68
148,565,,Brian Cooper,D,SD,22.872,37,4,3,3,7,10,48,8.33,0.11,0.08,0.08,0.19,0.27,1.3
71,531,,Anthony Mantha,LW,GR,21.999,10,8,0,2,8,10,34,23.53,0.8,0.0,0.2,0.8,1.0,3.4
45,561,,Andreas Englund,D,BNG,20.652,69,3,4,3,7,10,47,6.38,0.04,0.06,0.04,0.1,0.14,0.68
594,502,,Kurtis Gabriel,RW,IA,23.406,49,8,1,1,9,10,61,13.11,0.16,0.02,0.02,0.18,0.2,1.24
99,478,,Ben Thomson,LW,ALB,23.664,72,6,4,0,10,10,113,5.31,0.08,0.06,0.0,0.14,0.14,1.57
60,532,,Andrey Pedan,D,UTI,23.204,52,5,3,2,8,10,107,4.67,0.1,0.06,0.04,0.15,0.19,2.06
79,563,,Anton Slepyshev,LW,BAK,22.344,9,3,4,3,7,10,31,9.68,0.33,0.44,0.33,0.78,1.11,3.44
1005,535,,Ty Loney,RW,CHI/ALB,24.543000000000006,24,4,4,2,8,10,45,8.89,0.17,0.17,0.08,0.33,0.42,1.88
244,500,,Conner Bleackley,C,CHI,20.605,45,2,7,1,9,10,32,6.25,0.04,0.16,0.02,0.2,0.22,0.71
459,533,,Jere Sallinen,C,BAK,25.89,53,4,4,2,8,10,67,5.97,0.08,0.08,0.04,0.15,0.19,1.26
841,591,,Richard Clune,LW,TOR,29.394,37,3,3,4,6,10,22,13.64,0.08,0.08,0.11,0.16,0.27,0.59
366,537,,Gabriel Dumont,C,SYR,25.944000000000006,20,5,3,2,8,10,50,10.0,0.25,0.15,0.1,0.4,0.5,2.5
837,592,,Reid McNeill,D,WBS/CHI,24.381,61,3,3,4,6,10,74,4.05,0.05,0.05,0.07,0.1,0.16,1.21
672,559,,Matt Bartkowski,D,PRO,28.283,34,2,5,3,7,10,59,3.39,0.06,0.15,0.09,0.21,0.29,1.74
658,564,,Markus Eisenschmid,C,STJ,21.649,39,6,1,3,7,10,60,10.0,0.15,0.03,0.08,0.18,0.26,1.54
868,562,,Ryan Garbutt,LW,SD,31.094,28,4,3,3,7,10,56,7.14,0.14,0.11,0.11,0.25,0.36,2.0
290,613,,David Shields,D,UTI,25.635,48,0,5,5,5,10,45,0.0,0.0,0.1,0.1,0.1,0.21,0.94
1049,568,,William Wrenn,D,TOR,25.504,39,3,4,2,7,9,41,7.32,0.08,0.1,0.05,0.18,0.23,1.05
464,596,,Jesse Graham,D,BRI,22.344,19,2,4,3,6,9,37,5.41,0.11,0.21,0.16,0.32,0.47,1.95
1057,540,,Zac Larraza,LW,SD,23.554,17,5,3,1,8,9,14,35.71,0.29,0.18,0.06,0.47,0.53,0.82
530,614,,Josh Jacobs,D,ALB,20.584,49,0,5,4,5,9,62,0.0,0.0,0.1,0.08,0.1,0.18,1.27
631,653,,Mac Bennett,D,RCH,25.479,46,3,1,5,4,9,54,5.56,0.07,0.02,0.11,0.09,0.2,1.17
744,616,,Mitch Moroz,LW,BAK/TUC,22.371,41,4,1,4,5,9,34,11.76,0.1,0.02,0.1,0.12,0.22,0.83
418,655,,Jacob Middleton,D,SJ,20.704,50,1,3,5,4,9,43,2.33,0.02,0.06,0.1,0.08,0.18,0.86
765,569,,Nick Schmaltz,RW,RFD,20.562,12,6,1,2,7,9,32,18.75,0.5,0.08,0.17,0.58,0.75,2.67
769,566,,Nick Tarnasky,LW,SD,31.806,32,4,3,2,7,9,39,10.26,0.12,0.09,0.06,0.22,0.28,1.22
559,570,,Justin Vaive,LW,RCH,27.19,66,3,4,2,7,9,65,4.62,0.05,0.06,0.03,0.11,0.14,0.98
887,595,,Sam Henley,C,SA,23.144,55,3,3,3,6,9,46,6.52,0.05,0.05,0.05,0.11,0.16,0.84
620,538,,Louis-Marc Aubry,C,GR,24.847,36,4,4,1,8,9,59,6.78,0.11,0.11,0.03,0.22,0.25,1.64
976,594,,Tom Parisi,D,STJ,23.171,45,1,5,3,6,9,56,1.79,0.02,0.11,0.07,0.13,0.2,1.24
127,597,,Brandon Tanev,LW,MB,24.71,23,2,4,3,6,9,48,4.17,0.09,0.17,0.13,0.26,0.39,2.09
349,593,,Evan Mosey,RW,RFD,27.5,41,4,2,3,6,9,63,6.35,0.1,0.05,0.07,0.15,0.22,1.54
338,567,,Eric Selleck,RW,TUC,28.907,46,5,2,2,7,9,65,7.69,0.11,0.04,0.04,0.15,0.2,1.41
158,539,,Brody Sutter,C,SPR,24.972,19,4,4,1,8,9,29,13.79,0.21,0.21,0.05,0.42,0.47,1.53
853,652,,Robin Norell,D,RFD,21.575,65,1,3,5,4,9,42,2.38,0.02,0.05,0.08,0.06,0.14,0.65
808,617,,Paul Geiger,D,RCH,24.135,49,3,2,4,5,9,51,5.88,0.06,0.04,0.08,0.1,0.18,1.04
159,615,,Brooks Laich,C,TOR,33.233000000000004,27,1,4,4,5,9,23,4.35,0.04,0.15,0.15,0.19,0.33,0.85
912,654,,Seth Helgeson,D,ALB,25.939,48,2,2,5,4,9,51,3.92,0.04,0.04,0.1,0.08,0.19,1.06
917,575,,Shawn Ouellette-St. Amant,RW,SA,19.825,28,3,4,1,7,8,35,8.57,0.11,0.14,0.04,0.25,0.29,1.25
734,572,,Mike Weber,D,IA,28.751,56,1,6,1,7,8,62,1.61,0.02,0.11,0.02,0.12,0.14,1.11
1060,622,,Zach Aston-Reese,RW,WBS,22.1,10,3,2,3,5,8,25,12.0,0.3,0.2,0.3,0.5,0.8,2.5
740,545,,Miles Wood,LW,ALB,21.008000000000006,15,4,4,0,8,8,42,9.52,0.27,0.27,0.0,0.53,0.53,2.8
943,623,,Stuart Percy,D,WBS,23.33,37,1,4,3,5,8,43,2.33,0.03,0.11,0.08,0.14,0.22,1.16
1028,573,,Vaclav Karabacek,RW,RCH,20.373,23,3,4,1,7,8,25,12.0,0.13,0.17,0.04,0.3,0.35,1.09
628,543,,Luke Kunin,C,IA,18.782,12,5,3,0,8,8,35,14.29,0.42,0.25,0.0,0.67,0.67,2.92
825,571,,Pierre-Cedric Labrie,LW,RFD,30.262,52,1,6,1,7,8,73,1.37,0.02,0.12,0.02,0.13,0.15,1.4
781,619,,Nolan Valleau,D,RFD,23.833,46,3,2,3,5,8,70,4.29,0.07,0.04,0.07,0.11,0.17,1.52
537,598,,Julian Melchiori,D,MB,24.778,40,2,4,2,6,8,89,2.25,0.05,0.1,0.05,0.15,0.2,2.23
223,657,,Cody Goloubef,D,CLE/SA,26.793000000000006,18,2,2,4,4,8,40,5.0,0.11,0.11,0.22,0.22,0.44,2.22
605,624,,Kyle Platzer,C,BAK,21.536,51,1,4,3,5,8,58,1.72,0.02,0.08,0.06,0.1,0.16,1.14
23,542,,Alex  Petan,RW,CLE/IA,24.373,19,3,5,0,8,8,30,10.0,0.16,0.26,0.0,0.42,0.42,1.58
484,702,,Joel Lowry,LW,ONT,24.836,40,1,2,5,3,8,27,3.7,0.03,0.05,0.12,0.07,0.2,0.68
320,755,,Dylan Blujus,D,SYR,22.648000000000003,23,1,1,6,2,8,49,2.04,0.04,0.04,0.26,0.09,0.35,2.13
157,659,,Brodie Dupont,C,BAK,29.578000000000007,21,2,2,4,4,8,26,7.69,0.1,0.1,0.19,0.19,0.38,1.24
111,544,,Braden Christoffer,LW,BAK,22.122,49,5,3,0,8,8,50,10.0,0.1,0.06,0.0,0.16,0.16,1.02
156,541,,Brock McGinn,LW,CHA,22.618,9,5,3,0,8,8,35,14.29,0.56,0.33,0.0,0.89,0.89,3.89
287,574,,David Broll,LW,STJ,23.697,54,5,2,1,7,8,46,10.87,0.09,0.04,0.02,0.13,0.15,0.85
67,621,,Anthony Duclair,RW,TUC,21.057,16,1,4,3,5,8,26,3.85,0.06,0.25,0.19,0.31,0.5,1.62
539,599,,Julien Nantel,LW,SA,20.025,59,5,1,2,6,8,71,7.04,0.08,0.02,0.03,0.1,0.14,1.2
65,620,,Anthony Camara,LW,STJ,23.031,23,3,2,3,5,8,25,12.0,0.13,0.09,0.13,0.22,0.35,1.09
379,618,,Graham Black,C,SPR,23.672,33,4,1,3,5,8,32,12.5,0.12,0.03,0.09,0.15,0.24,0.97
534,656,,Josiah Didier,D,STJ,23.439,39,2,2,4,4,8,38,5.26,0.05,0.05,0.1,0.1,0.21,0.97
390,600,,Gustav Forsling,D,RFD,20.261,30,1,5,2,6,8,62,1.61,0.03,0.17,0.07,0.2,0.27,2.07
322,658,,Dylan McIlrath,D,GR/SPR/HFD,24.406,43,1,3,4,4,8,53,1.89,0.02,0.07,0.09,0.09,0.19,1.23
681,662,,Matt Lashoff,D,SA,29.964,19,3,1,3,4,7,21,14.29,0.16,0.05,0.16,0.21,0.37,1.11
529,703,,Josh Holmstrom,RW,BRI,27.029,66,2,1,4,3,7,62,3.23,0.03,0.02,0.06,0.05,0.11,0.94
1048,705,,William Pelletier,LW,RFD,23.754,8,3,0,4,3,7,16,18.75,0.38,0.0,0.5,0.38,0.88,2.0
377,579,,Gerald Mayhew,RW,IA,23.708,17,6,1,0,7,7,30,20.0,0.35,0.06,0.0,0.41,0.41,1.76
569,628,,Keith Aulie,D,STK/CLE,27.264,57,2,3,2,5,7,38,5.26,0.04,0.05,0.04,0.09,0.12,0.67
32,667,,Alex Krushelnyski,LW,BNG,25.838,43,3,1,3,4,7,39,7.69,0.07,0.02,0.07,0.09,0.16,0.91
264,663,,Dan Kelly,D,SJ,27.333,53,1,3,3,4,7,46,2.17,0.02,0.06,0.06,0.08,0.13,0.87
665,706,,Mat Clark,D,SA,25.914,38,1,2,4,3,7,29,3.45,0.03,0.05,0.11,0.08,0.18,0.76
433,756,,Jakub Kindl,D,SPR,29.597,13,1,1,5,2,7,25,4.0,0.08,0.08,0.38,0.15,0.54,1.92
689,625,,Matt Tennyson,D,CHA,26.399,9,3,2,2,5,7,29,10.34,0.33,0.22,0.22,0.56,0.78,3.22
671,704,,Matt Bailey,C,STK,25.449,17,2,1,4,3,7,24,8.33,0.12,0.06,0.24,0.18,0.41,1.41
674,633,,Matt Buckles,F,SPR,21.367,9,3,2,2,5,7,12,25.0,0.33,0.22,0.22,0.56,0.78,1.33
151,664,,Brian Hart,RW,SYR,22.807,33,3,1,3,4,7,50,6.0,0.09,0.03,0.09,0.12,0.21,1.52
1010,577,,Tyler Barnes,RW,RFD,26.588,25,4,3,0,7,7,24,16.67,0.16,0.12,0.0,0.28,0.28,0.96
983,603,,Tony Cameranesi,F,TOR,23.094,31,4,2,1,6,7,59,6.78,0.13,0.06,0.03,0.19,0.23,1.9
572,632,,Kelly Zajac,C,HER,28.277,9,4,1,2,5,7,9,44.44,0.44,0.11,0.22,0.56,0.78,1.0
1038,602,,Vinnie Hinostroza,C,RFD,22.454,15,3,3,1,6,7,35,8.57,0.2,0.2,0.07,0.4,0.47,2.33
834,660,,Reece Willcox,D,LV,22.492,48,3,1,3,4,7,41,7.32,0.06,0.02,0.06,0.08,0.15,0.85
317,627,,Duncan Siemens,D,SA,23.023000000000003,73,2,3,2,5,7,71,2.82,0.03,0.04,0.03,0.07,0.1,0.97
14,630,,Adam Pardy,D,MIL,32.466,31,3,2,2,5,7,33,9.09,0.1,0.06,0.06,0.16,0.23,1.06
173,601,,Cam Darcy,C,SYR,22.541,34,3,3,1,6,7,40,7.5,0.09,0.09,0.03,0.18,0.21,1.18
11,661,,Adam Krause,C,WBS,25.011,14,3,1,3,4,7,19,15.79,0.21,0.07,0.21,0.29,0.5,1.36
441,626,,Jan Kostalek,D,MB,21.577,60,2,3,2,5,7,71,2.82,0.03,0.05,0.03,0.08,0.12,1.18
625,631,,Luke Gazdic,LW,ALB,27.144,37,1,4,2,5,7,31,3.23,0.03,0.11,0.05,0.14,0.19,0.84
1059,576,,Zac Rinaldo,LW,PRO,26.254,29,5,2,0,7,7,34,14.71,0.17,0.07,0.0,0.24,0.24,1.17
403,665,,Hunter Warner,D,IA,20.986,52,2,2,3,4,7,28,7.14,0.04,0.04,0.06,0.08,0.13,0.54
343,666,,Erik Karlsson,LW,CHA,22.136,42,0,4,3,4,7,32,0.0,0.0,0.1,0.07,0.1,0.17,0.76
337,629,,Eric Robinson,F,MIL/SPR,26.317,41,1,4,2,5,7,37,2.7,0.02,0.1,0.05,0.12,0.17,0.9
583,578,,Kevin Lynch,C,SYR,25.4,37,5,2,0,7,7,50,10.0,0.14,0.05,0.0,0.19,0.19,1.35
618,674,,Logan Shaw,RW,SD/SPR,23.946,15,4,0,2,4,6,34,11.76,0.27,0.0,0.13,0.27,0.4,2.27
91,758,,Ben Betker,D,BAK,21.963,30,1,1,4,2,6,26,3.85,0.03,0.03,0.13,0.07,0.2,0.87
836,675,,Reid Gardiner,RW,WBS,20.658,23,3,1,2,4,6,31,9.68,0.13,0.04,0.09,0.17,0.26,1.35
94,639,,Ben Marshall,D,PRO,24.044,14,2,3,1,5,6,26,7.69,0.14,0.21,0.07,0.36,0.43,1.86
604,636,,Kyle MacKinnon,C,SD,28.885,21,2,3,1,5,6,22,9.09,0.1,0.14,0.05,0.24,0.29,1.05
902,605,,Scott Mayfield,D,BRI,23.921,23,3,3,0,6,6,54,5.56,0.13,0.13,0.0,0.26,0.26,2.35
624,759,,Lukas Bengtsson,D,WBS,22.423,16,1,1,4,2,6,25,4.0,0.06,0.06,0.25,0.12,0.38,1.56
319,707,,Dustin Stevenson,D,TEX,27.094,59,2,1,3,3,6,64,3.12,0.03,0.02,0.05,0.05,0.1,1.08
323,634,,Dylan Sadowy,RW,GR,20.455,38,4,1,1,5,6,51,7.84,0.11,0.03,0.03,0.13,0.16,1.34
237,672,,Colin Markison,RW,BRI,24.11,28,2,2,2,4,6,27,7.41,0.07,0.07,0.07,0.14,0.21,0.96
783,912,,Oleg Yevenko,D,CLE,25.651,49,0,0,6,0,6,29,0.0,0.0,0.0,0.12,0.0,0.12,0.59
503,710,,Jonathan Racine,D,SYR/STJ,23.302,55,1,2,3,3,6,40,2.5,0.02,0.04,0.05,0.05,0.11,0.73
491,606,,John Kurtz,LW,SYR,27.335,17,5,1,0,6,6,25,20.0,0.29,0.06,0.0,0.35,0.35,1.47
103,635,,Blake Siebenaler,D,CLE,20.551,43,3,2,1,5,6,62,4.84,0.07,0.05,0.02,0.12,0.14,1.44
932,638,,Stephen MacAulay,C,SPR,24.406,39,2,3,1,5,6,37,5.41,0.05,0.08,0.03,0.13,0.15,0.95
649,678,,Mark Fraser,D,BAK,29.964,65,3,1,2,4,6,58,5.17,0.05,0.02,0.03,0.06,0.09,0.89
219,669,,Clark Bishop,C,CHA,20.466,42,2,2,2,4,6,44,4.55,0.05,0.05,0.05,0.1,0.14,1.05
758,677,,Nick  Saracino,LW,IA,24.57,33,2,2,2,4,6,39,5.13,0.06,0.06,0.06,0.12,0.18,1.18
641,676,,Marco Roy,LW,UTI,21.862,23,1,3,2,4,6,24,4.17,0.04,0.13,0.09,0.17,0.26,1.04
881,637,,Ryan Rupert,C,BNG,22.289,33,3,2,1,5,6,39,7.69,0.09,0.06,0.03,0.15,0.18,1.18
637,604,,Malte Stromwall,RW,HFD,22.062,44,2,4,0,6,6,56,3.57,0.05,0.09,0.0,0.14,0.14,1.27
312,673,,Dominik Masin,D,SYR,20.622,69,3,1,2,4,6,57,5.26,0.04,0.01,0.03,0.06,0.09,0.83
942,708,,Stu Bickel,D,SD,29.955,26,2,1,3,3,6,28,7.14,0.08,0.04,0.12,0.12,0.23,1.08
43,760,,Alexx Privitera,D,ONT,23.658,19,0,2,4,2,6,25,0.0,0.0,0.11,0.21,0.11,0.32,1.32
367,709,,Gabriel Gagne,RW,BNG,19.844,41,2,1,3,3,6,50,4.0,0.05,0.02,0.07,0.07,0.15,1.22
1030,671,,Viktor Loov,D,TOR/ALB,23.831,51,2,2,2,4,6,50,4.0,0.04,0.04,0.04,0.08,0.12,0.98
136,670,,Brendan Woods,C,CHA,24.263,24,3,1,2,4,6,29,10.34,0.12,0.04,0.08,0.17,0.25,1.21
760,668,,Nick Jensen,D,GR,25.985,27,1,3,2,4,6,44,2.27,0.04,0.11,0.07,0.15,0.22,1.63
816,757,,Petter Granberg,D,MIL,24.053,50,1,1,4,2,6,25,4.0,0.02,0.02,0.08,0.04,0.12,0.5
400,717,,Hunter Fejes,LW,TUC,22.295,19,1,2,2,3,5,16,6.25,0.05,0.11,0.11,0.16,0.26,0.84
720,716,,Mike Aviani,C,RCH,23.442,13,2,1,2,3,5,11,18.18,0.15,0.08,0.15,0.23,0.38,0.85
