"#","Name","GP","ROW","GF%","GF","GA","GD","SF%","SF","SA","SD","Sh%","Sv%","PDO","xGF%","xGF","xGA","xGD","xSh%","xSv%","xPDO","GFAX","GFAX/30","GSAX","GSAX/30","HD GF","HD GA","HD GD","HD GF%","HD SF","HD SA","HD SD","HD SF%","HD Sh%","HD Sv%","MD GF","MD GA","MD GD","MD GF%","MD SF","MD SA","MD SD","MD SF%","MD Sh%","MD Sv%","LD GF","LD GA","LD GD","LD GF%","LD SF","LD SA","LD SD","LD SF%","LD Sh%","LD Sv%"
"","Erie Otters","68","47","63.58","316","181","135","59.14","2421","1673","748","12.84","0.893","102.18","61.56","276.95","172.97","103.98","11.47","0.896","101.11","33.051","0.411","-5.033","-0.09","67","46","21","59.29","285","199","86","58.88","23.51","0.769","64","38","26","62.75","320","251","69","56.04","20.0","0.849","185","97","88","65.6","1816","1223","593","59.76","9.89","0.923"
"","Owen Sound Attack","68","47","62.77","295","175","120","58.89","2594","1811","783","10.96","0.906","101.55","59.69","273.12","184.45","88.67","10.58","0.898","100.36","9.879","0.115","14.452","0.24","50","46","4","52.08","276","224","52","55.2","17.22","0.798","71","46","25","60.68","331","264","67","55.63","21.21","0.826","174","83","91","67.7","1987","1323","664","60.03","8.39","0.94"
"","London Knights","68","44","60.17","287","190","97","50.68","2246","2186","60","12.39","0.915","103.91","54.1","254.56","215.96","38.6","11.38","0.901","101.48","22.437","0.301","30.963","0.426","70","53","17","56.91","298","229","69","56.55","23.49","0.775","59","30","29","66.29","299","268","31","52.73","19.73","0.888","158","107","51","59.62","1649","1689","-40","49.4","9.03","0.938"
"","Sault Ste. Marie Greyhounds","68","45","57.84","284","207","77","53.94","2391","2042","349","11.4","0.901","101.48","57.92","271.9","197.5","74.4","11.43","0.903","101.74","-0.898","-0.011","-4.501","-0.066","74","46","28","61.67","299","231","68","56.42","23.47","0.804","62","50","12","55.36","298","243","55","55.08","20.54","0.794","148","111","37","57.14","1794","1568","226","53.36","7.89","0.932"
"","Windsor Spitfires","68","40","55.93","231","182","49","51.55","2096","1970","126","10.77","0.912","101.94","54.75","230.51","190.49","40.03","11.03","0.903","101.32","-5.515","-0.079","17.489","0.268","66","37","29","64.08","262","210","52","55.51","24.62","0.832","45","34","11","56.96","267","230","37","53.72","16.54","0.856","120","111","9","51.95","1567","1530","37","50.6","7.48","0.931"
"","Mississauga Steelheads","68","32","52.89","238","212","26","52.11","2326","2138","188","9.84","0.903","100.14","51.88","238.87","221.52","17.35","10.31","0.896","99.93","-10.867","-0.141","14.521","0.204","65","72","-7","47.45","246","288","-42","46.07","25.21","0.755","46","48","-2","48.94","331","294","37","52.96","13.64","0.84","127","92","35","57.99","1749","1556","193","52.92","7.0","0.942"
"","Peterborough Petes","68","38","51.88","235","218","17","47.72","2241","2455","-214","10.04","0.913","101.35","48.75","231.47","243.39","-11.91","10.38","0.901","100.45","-7.474","-0.101","30.386","0.372","59","58","1","50.43","257","300","-43","46.14","22.66","0.809","47","54","-7","46.53","301","342","-41","46.81","15.33","0.845","129","106","23","54.89","1683","1813","-130","48.14","7.17","0.943"
"","Hamilton Bulldogs","68","29","51.43","234","221","13","52.19","2190","2006","184","10.4","0.892","99.56","53.74","230.39","198.36","32.03","10.55","0.901","100.65","-3.388","-0.047","-18.642","-0.279","70","51","19","57.85","283","221","62","56.15","24.2","0.776","53","46","7","53.54","304","256","48","54.29","17.16","0.824","111","124","-13","47.23","1603","1529","74","51.18","6.69","0.92"
"","Oshawa Generals","68","36","51.26","224","213","11","49.3","2215","2278","-63","9.54","0.909","100.43","48.62","209.83","221.75","-11.92","9.53","0.902","99.77","0.169","0.002","14.754","0.195","53","65","-12","44.92","246","232","14","51.46","19.92","0.726","41","41","0","50.0","270","284","-14","48.74","14.55","0.856","130","107","23","54.85","1699","1762","-63","49.09","7.27","0.941"
"","Kitchener Rangers","68","34","49.29","242","249","-7","46.54","1991","2287","-296","12.02","0.896","101.6","48.45","223.38","237.65","-14.27","11.24","0.896","100.79","15.619","0.236","0.646","0.009","64","61","3","51.2","281","281","0","50.0","22.78","0.789","53","53","0","50.0","275","280","-5","49.55","19.27","0.814","125","135","-10","48.08","1435","1726","-291","45.4","8.52","0.927"
"","Flint Firebirds","68","30","48.92","227","237","-10","53.59","2352","2037","315","9.27","0.888","98.02","50.06","233.65","233.08","0.57","9.98","0.885","98.48","-16.647","-0.213","5.076","0.075","41","60","-19","40.59","217","293","-76","42.55","18.14","0.795","67","59","8","53.17","336","292","44","53.5","18.98","0.803","119","118","1","50.21","1799","1452","347","55.34","6.41","0.923"
"","Sarnia Sting","68","25","47.63","251","276","-25","46.02","2101","2464","-363","11.9","0.892","101.07","47.74","232.12","254.08","-21.96","11.05","0.896","100.7","17.882","0.255","-11.924","-0.146","75","60","15","55.56","271","267","4","50.37","27.68","0.775","44","60","-16","42.31","309","332","-23","48.21","14.24","0.819","132","156","-24","45.83","1521","1865","-344","44.92","8.62","0.921"
"","Kingston Frontenacs","68","31","47.45","177","196","-19","51.88","2111","1958","153","8.12","0.903","98.44","52.46","207.83","188.38","19.45","9.87","0.903","100.22","-36.832","-0.525","-0.622","-0.01","54","53","1","50.47","239","205","34","53.83","22.27","0.745","34","33","1","50.75","276","280","-4","49.64","12.0","0.882","89","110","-21","44.72","1596","1473","123","52.0","5.34","0.929"
"","Saginaw Spirit","68","24","44.97","201","246","-45","50.44","2195","2157","38","8.82","0.888","97.58","49.21","219.5","226.59","-7.08","10.04","0.895","99.51","-26.503","-0.364","-15.414","-0.215","42","71","-29","37.17","255","239","16","51.62","16.14","0.709","51","58","-7","46.79","315","279","36","53.03","15.92","0.795","108","117","-9","48.0","1625","1639","-14","49.79","6.3","0.929"
"","Ottawa 67's","68","25","44.9","220","270","-50","46.12","1972","2304","-332","10.93","0.887","99.67","45.05","216.81","264.47","-47.66","11.02","0.885","99.48","-1.813","-0.028","6.474","0.085","51","72","-21","41.46","260","330","-70","44.07","19.31","0.796","64","46","18","58.18","320","391","-71","45.01","20.0","0.882","105","152","-47","40.86","1392","1583","-191","46.79","7.28","0.907"
"","Sudbury Wolves","68","25","43.62","205","265","-60","45.05","2029","2475","-446","9.7","0.897","99.43","44.63","214.04","265.59","-51.54","10.6","0.892","99.81","-18.041","-0.268","12.585","0.153","62","54","8","53.45","283","261","22","52.02","21.35","0.799","51","57","-6","47.22","266","333","-67","44.41","18.87","0.829","92","154","-62","37.4","1480","1881","-401","44.03","5.83","0.923"
"","Niagara IceDogs","68","21","43.16","205","270","-65","44.4","2218","2777","-559","9.0","0.906","99.6","40.39","192.24","283.67","-91.42","8.69","0.897","98.44","6.756","0.092","23.669","0.257","55","75","-20","42.31","208","307","-99","40.39","25.73","0.761","46","75","-29","38.02","266","343","-77","43.68","17.29","0.786","104","120","-16","46.43","1744","2127","-383","45.05","5.75","0.946"
"","North Bay Battalion","68","21","42.19","189","259","-70","48.76","2107","2214","-107","8.71","0.888","97.49","45.45","194.42","233.32","-38.9","9.25","0.894","98.66","-11.415","-0.163","-13.682","-0.186","50","62","-12","44.64","217","253","-36","46.17","23.04","0.761","41","62","-21","39.81","269","278","-9","49.18","15.24","0.785","98","135","-37","42.06","1621","1683","-62","49.06","5.7","0.924"
"","Guelph Storm","68","21","40.64","202","295","-93","46.44","2153","2483","-330","9.04","0.885","97.52","43.86","209.36","268.02","-58.67","9.76","0.892","98.92","-15.356","-0.215","-16.977","-0.206","47","52","-5","47.47","230","279","-49","45.19","20.09","0.819","36","51","-15","41.38","275","282","-7","49.37","13.09","0.822","119","192","-73","38.26","1648","1922","-274","46.16","6.83","0.903"
"","Barrie Colts","68","14","39.46","189","290","-101","47.31","2061","2295","-234","8.95","0.878","96.73","43.23","190.56","250.3","-59.73","9.27","0.89","98.31","-6.561","-0.096","-28.704","-0.377","47","68","-21","40.87","232","296","-64","43.94","19.57","0.776","39","73","-34","34.82","243","349","-106","41.05","15.35","0.798","103","149","-46","40.87","1586","1650","-64","49.01","6.44","0.913"