"#","Name","GP","ROW","GF%","GF","GA","GD","SF%","SF","SA","SD","Sh%","Sv%","PDO"
"","Regina Pats","72","52","62.7","353","210","143","57.73","2946","2157","789","11.59","0.906","102.19"
"","Medicine Hat Tigers","72","49","58.39","348","248","100","57.71","2924","2143","781","11.48","0.888","100.24"
"","Everett Silvertips","72","42","57.76","227","166","61","52.9","2237","1992","245","9.74","0.919","101.6"
"","Kelowna Rockets","72","42","57.61","280","206","74","55.32","2511","2028","483","10.94","0.901","101.0"
"","Prince George Cougars","72","41","55.7","249","198","51","53.51","2513","2183","330","9.66","0.912","100.84"
"","Kamloops Blazers","72","40","55.4","241","194","47","48.79","2356","2473","-117","10.0","0.924","102.42"
"","Seattle Thunderbirds","72","43","55.07","250","204","46","54.08","2380","2021","359","10.13","0.903","100.39"
"","Moose Jaw Warriors","72","40","53.72","253","218","35","48.69","2312","2436","-124","10.67","0.914","102.02"
"","Lethbridge Hurricanes","72","42","52.65","278","250","28","48.15","2285","2461","-176","11.9","0.901","101.99"
"","Victoria Royals","72","35","52.09","237","218","19","48.63","2249","2376","-127","10.22","0.91","101.24"
"","Portland Winterhawks","72","37","52.08","275","253","22","52.27","2722","2486","236","9.7","0.901","99.82"
"","Tri-City Americans","72","37","51.54","268","252","16","46.25","2087","2425","-338","12.59","0.9","102.61"
"","Swift Current Broncos","72","38","51.36","246","233","13","48.64","2272","2399","-127","10.55","0.904","100.95"
"","Red Deer Rebels","72","29","48.37","238","254","-16","49.73","2354","2380","-26","9.84","0.897","99.51"
"","Brandon Wheat Kings","72","26","47.41","220","244","-24","47.12","2214","2485","-271","9.73","0.906","100.35"
"","Spokane Chiefs","72","26","46.61","234","268","-34","50.9","2303","2222","81","9.93","0.882","98.1"
"","Saskatoon Blades","72","26","43.32","188","246","-58","46.61","2064","2364","-300","8.71","0.899","98.61"
"","Calgary Hitmen","72","26","42.97","211","280","-69","50.89","2235","2157","78","9.24","0.872","96.46"
"","Prince Albert Raiders","72","20","41.21","197","281","-84","46.69","2222","2537","-315","8.66","0.894","98.04"
"","Edmonton Oil Kings","72","22","39.75","192","291","-99","48.63","2275","2403","-128","8.24","0.882","96.46"
"","Vancouver Giants","72","17","38.05","180","293","-113","43.9","1958","2502","-544","9.1","0.885","97.64"
"","Kootenay ICE","72","12","34.45","175","333","-158","41.85","2027","2816","-789","8.36","0.884","96.73"